,,,,,,Time Differences,,,,"Mean Spring, Neap and Sea Level Heights",,,,,,
,,Lat.,S.,Long.,E.,High Water,,Low Water,,,,(metres),,,Range,
No.,Port,°,´,°,´,Mean,Range,Mean,Range,MHWS,MHWN,MLWN,MLWS,MSL,Ratio,
6400,AUCKLAND,36,51,174,46,hhmm,hhmm to hhmm,hhmm,hhmm to hhmm,3.3,2.8,1,0.4,1.91,,
6399c,Devonport Naval Base,36,50,174,47,0,-0007 to +0003,0,-0007 to +0004,3.2,2.7,0.9,0.4,1.8,0.97,
6399e,Hobsonville,36,47,174,40,8,-0013 to +0036,3,-0028 to +0033,3.6,3.1,1.1,0.6,2.1,1.03,
6402,Maraetai ,36,52,175,3,-15,-,-15,-,-,-,-,-,-,-,*
6399d,Onetaunga Bay,36,49,174,42,4,-,-7,-,3.4,2.9,0.9,0.5,2,1,*
6401b,Pine Harbour,36,53,174,59,-12,-0033 to +0006,0,-0025 to +0021,3.2,2.7,0.9,0.3,1.8,1,
6399f,Whau River,36,52,174,39,10,-0042 to +0031,7,-0040 to +0029,3.6,3.1,1.1,0.6,2.1,1.03,
,Coromandel Peninsula,,,,,,,,,,,,,,,
6405,Coromandel Harbour - Whanganui Island,36,47,175,27,-21,-0044 to +0011,-15,-0048 to +0011,2.9,2.5,0.7,0.2,1.6,0.93,
6404,Thames,37,8,175,31,-17,-0027 to -0009,-10,-0017 to +0003,3.5,2.9,0.9,0.3,1.9,1.1,
,Hauraki Gulf / Tīkapa Moana,,,,,,,,,,,,,,,
6396b,Leigh,36,17,174,48,-12,-0033 to +0013,-1,-0031 to +0022,2.6,2.2,0.8,0.3,1.5,0.79,
6398,Mahurangi Harbour,36,29,174,43,-10,-0025 to +0014,0,-0018 to +0025,2.9,2.4,0.9,0.2,1.7,0.92,
6397a,Matakana River - Sandspit,36,24,174,44,-6,-0018 to +0015,1,-0013 to +0014,2.9,2.5,0.9,0.5,1.7,0.83,
6400a,McKenzie Bay,36,47,174,50,-12,-0030 to +0008,-3,-0023 to +0018,3.1,2.6,0.9,0.4,1.7,0.93,
6399a,Murrays Bay,36,44,174,45,-11,-0030 to +0008,0,-0021 to +0022,3.1,2.6,0.9,0.3,1.7,0.97,
6398a,Tiritiri Matangi Island,36,36,174,53,-13,-0031 to +0007,-1,-0023 to +0022,2.9,2.5,0.8,0.3,1.7,0.9,
6399,Weiti River Entrance,36,39,174,44,1,-0020 to +0022,7,-0023 to +0025,3,2.5,0.8,0.2,1.7,0.97,
6396c,Whangateau Harbour,36,19,174,47,-,-,-,-,2.7,2.3,0.6,0.2,1.5,0.86,*
,Kawau Island,,,,,,,,,,,,,,,
6397,Bon Accord Harbour - Mansion House Bay,36,26,174,49,-10,-0038 to +0012,0,-0030 to +0023,2.9,2.4,0.9,0.4,1.7,0.86,
